0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,y
-158.94592,100.657585,-45.702076,27.958706,-38.047256,-2.2777565,-37.630463,-12.480338,-24.459661,-14.593526,-18.116056,-19.653702,-8.99717,-16.084156,-5.089531,-22.081099,-2.2374408,-18.024675,-7.405202,-6.86683,-10.667392,0.9974081,-5.512828,2.830698,-6.3914986,-0.17348792,-6.740245,-3.156593,-0.23125212,3.6230378,3.3202677,-2.9322658,-0.8075439,-5.506924,3.1800113,0.017234126,2.333563,-1.4700927,1.2861884,1.8903724,-1.0597593,3.0931618,-0.02343892,2.1574786,0.6398394,3.063854,2
-155.81213,93.872795,-44.627182,21.189138,-38.398605,-1.5928472,-29.385288,-5.779632,-20.674871,-11.596892,-17.281008,-17.639025,-6.3501024,-12.821941,-5.523542,-19.374683,-6.107886,-14.359122,-1.7525799,-0.8197779,-5.592314,0.44415396,-7.4087467,-0.017584259,-5.356746,4.3571796,-3.0541246,-2.6345599,-2.094923,-0.86574984,-1.20083,-2.6262372,0.060707837,-5.6737566,3.4089293,-1.3968122,2.5081773,-0.70971996,0.20718454,3.981681,1.7232596,2.5981889,-2.0824728,0.66463846,0.3831027,1.7625353,2
-166.49184,103.60216,-47.70727,26.128822,-48.503826,-4.6219525,-34.438087,-14.357112,-23.002249,-13.708389,-18.957096,-17.170362,-8.070462,-10.960612,-7.32322,-24.246273,-0.5927829,-19.316593,-10.596119,-7.8067675,-9.743714,2.0843692,-0.8752019,3.8394275,-6.6521015,1.712563,-2.9111512,2.247608,0.32571447,1.6246754,-2.1610765,-5.9138465,-0.17633481,-5.8466716,2.9071414,-3.5466092,1.0998908,-0.7619813,-1.7272521,-0.9756183,0.8781117,3.984128,0.8797409,4.520395,-0.18377472,2.1853678,2
-170.99048,92.84715,-52.37918,24.498144,-39.186283,-0.6276679,-30.36209,-11.470797,-21.520615,-14.391244,-16.57339,-17.812502,-6.656987,-12.401489,-7.603523,-22.406265,-5.944696,-20.054424,-11.116374,-6.195399,-3.0058148,9.65585,7.4966073,10.739984,-7.0370007,-2.82109,-7.1820264,-0.82874954,3.2562551,4.2612715,-0.7543153,-7.6879053,-1.6724391,-4.6855145,2.8251863,-5.09742,-3.0634348,-3.4865944,-3.1820307,-1.9526197,-3.2261462,2.6032774,5.7466507,10.800337,4.567929,6.02421,2
-162.3002,105.94136,-48.228065,17.549929,-40.902836,-5.160705,-31.53356,-13.6737795,-25.193329,-15.441267,-15.577346,-14.406208,-6.7931113,-12.265158,-5.8299866,-20.244196,-3.4196138,-16.724787,-5.3590846,-7.257768,-8.319361,1.7746693,-3.7807128,-1.2421418,-11.865288,0.19686335,-1.2042996,3.029914,-0.06734867,-0.5311111,-1.4157637,-1.9105239,3.8004405,-1.8993936,4.042869,-3.181759,1.8795199,-0.853,-1.8553486,0.31811845,-0.29571527,2.930816,0.49899834,3.4404156,0.87104946,3.341545,2
-208.56587,114.58727,-25.120087,9.918546,-31.94834,-3.3452623,-31.55605,-11.225015,-22.209167,-19.423798,-14.572572,-18.972334,-10.526151,-14.50911,-10.796032,-23.84666,-5.048895,-14.668861,-11.130313,-8.219366,-14.028621,-5.884532,-11.308367,-7.486958,-10.358559,-2.8399878,-5.547826,0.07684019,2.037836,1.5213611,3.169481,-3.5406308,3.3549187,1.9252572,0.84682095,0.18547802,3.3935843,3.3885407,6.375737,4.1332073,-0.3430836,1.4382826,-0.9196108,0.71946985,-3.5208898,-0.067439616,3
-199.90607,103.52227,-26.111483,14.407116,-35.88661,-2.455198,-29.586575,-7.203494,-20.418715,-15.756064,-12.035824,-19.64205,-15.62929,-15.575342,-2.8970904,-19.239412,-7.958667,-13.477511,-4.613548,-9.702386,-14.038836,-7.354744,-10.971535,-4.1149387,-9.778347,-0.6027441,-5.446289,-2.4060595,-3.4878218,0.13834114,4.8354816,3.0398374,4.8458877,-1.828714,3.382005,-1.3715031,3.3037198,3.9196296,4.073446,1.0410035,-1.5742366,1.7438694,0.0010747553,3.0680764,-1.6587507,2.3712583,3
-250.31299,99.43055,-10.638497,10.269575,-31.33724,-7.6760387,-20.29465,-5.1121774,-17.746569,-19.560726,-6.891171,-16.714167,-23.817703,-14.655875,-6.6603794,-16.893353,-7.844439,-13.11121,-4.627563,-11.70866,-12.928901,-5.752058,-11.6621065,-4.124103,-7.2081714,-2.3206904,-3.085184,-1.2616005,-1.5304025,-1.1037681,1.7469126,4.4428782,6.6429105,0.3953142,1.0152673,-0.99740326,3.3239498,4.6062274,6.0473795,4.3554683,2.179794,1.7912508,-0.11672029,1.7213492,-2.067649,0.6340351,3
-236.81354,110.61095,-15.887012,12.748539,-34.557114,-6.4912953,-22.67431,-8.821341,-24.329147,-23.825586,-9.586119,-16.310009,-15.794219,-10.884127,-0.60589397,-16.378193,-5.6135955,-8.847313,-5.7526774,-8.692801,-13.4723015,-6.6201606,-14.498606,-9.825659,-13.022152,-6.06624,-7.911709,-7.6863284,-3.6149793,-2.5333593,3.2586772,5.268254,10.284221,6.471054,7.145755,3.9651132,3.811973,2.789874,2.3619444,4.5699735,2.097487,2.8822935,-0.98159903,-0.18508707,0.3219188,0.37492418,3
-245.44817,108.11374,-13.768444,12.072055,-35.040703,-6.012383,-22.20195,-7.858285,-17.406778,-21.248133,-12.771101,-17.51367,-14.283096,-11.461377,-2.1455367,-17.159431,-11.429915,-11.15624,-6.9002876,-10.21876,-10.853612,-4.972778,-12.813788,-7.057382,-10.06899,-4.729531,-3.985921,-3.6446905,-2.5038824,-3.3031924,1.0219371,4.7231493,5.862591,0.325756,2.925944,0.784611,1.2734696,2.9426584,5.6359444,6.632041,1.8835546,0.31506434,1.0173665,2.799568,-0.46942443,-1.1702514,3
